Date,Close,High,Low,Open,Volume,ticker,sector,log_ret,obs_smoothed,z_vol,z_rsi,z_obv_roc,z_vix,z_dxy_ret
2024-11-01,38053.671875,38512.828125,37946.66015625,38504.3515625,130300000,^N225,Indices,-0.026645231367667985,0.0007358409066067287,0.011459523935875869,0.45694042792851586,0.02403745787480238,,
2024-11-05,38474.8984375,38620.19140625,38159.73046875,38274.21875,120000000,^N225,Indices,0.011008459054551204,-0.0006779045633147042,0.011741038882874729,0.49433583523444974,0.024124992671630485,,
2024-11-06,39480.671875,39664.53125,38662.171875,38677.94921875,170600000,^N225,Indices,0.025805192510555793,0.002944478574239176,0.012493103798724408,0.570403580431049,0.034363168694546475,,
2024-11-07,39381.41015625,39884.01171875,39020.21875,39745.23046875,190000000,^N225,Indices,-0.0025173510161596705,0.0005289660704342248,0.012277739509518997,0.5614272635221981,-0.024362923550826143,,
2024-11-08,39500.37109375,39818.41015625,39377.87109375,39783.44921875,159300000,^N225,Indices,0.003016185126676096,0.0021334508615910848,0.012144457794652886,0.570157629056062,0.018520370979036027,,
2024-11-11,39533.3203125,39598.73828125,39315.609375,39417.2109375,122700000,^N225,Indices,0.0008338018906281682,0.007629257513250316,0.012132954481191787,0.5726948271372292,0.05571249672365086,,
2024-11-12,39376.08984375,39866.71875,39137.890625,39642.78125,163000000,^N225,Indices,-0.003985093197873607,0.004630547062765354,0.012094945866096721,0.5558344651582224,0.014254229040844946,,
2024-11-13,38721.66015625,39377.23828125,38600.26171875,39317.1484375,150400000,^N225,Indices,-0.016759637908742887,-0.0038824190210943826,0.012476424038436774,0.49103557625774336,-0.03093042749371333,,
2024-11-14,38535.69921875,39084.44140625,38535.69921875,38911.0390625,133800000,^N225,Indices,-0.004814073329608999,-0.004341763483784248,0.011858127854820762,0.47412124164407726,-0.02370838117106777,,
2024-11-15,38642.91015625,39101.640625,38642.91015625,38749.55859375,143900000,^N225,Indices,0.002778257015228933,-0.004389349106073681,0.011794895631817093,0.4851325629432153,-0.025339188753104258,,
2024-11-18,38220.8515625,38548.30078125,38150.390625,38259.58984375,106000000,^N225,Indices,-0.010982102000304857,-0.006752529884260286,0.012016568685308773,0.4455780591287073,-0.05645517241379305,,
2024-11-19,38414.4296875,38560.1015625,38246.359375,38396.71875,109200000,^N225,Indices,0.005051943009873268,-0.004945122642710911,0.012092357016149271,0.46704139435165054,-0.019345280090306227,,
2024-11-20,38352.33984375,38520.44921875,38180.1484375,38475.69921875,103500000,^N225,Indices,-0.0016176232937341157,-0.0019167197197091572,0.011683855524831702,0.4608783950159635,-0.013003488740881752,,
2024-11-21,38026.171875,38374.69140625,37945.2109375,38352.87109375,101900000,^N225,Indices,-0.00854088261598344,-0.0026620815769840453,0.011702804014432317,0.42886287057528655,-0.008570000587993176,,
2024-11-22,38283.8515625,38420.62890625,38085.12890625,38146.98046875,103300000,^N225,Indices,0.006753520842744594,-0.0018670288114809128,0.011801623233255645,0.4607342366646558,-0.014236975830250298,,
2024-11-25,38780.140625,39053.640625,38672.171875,38679.9296875,192400000,^N225,Indices,0.01288009897913561,0.002905411384407181,0.01203277918107111,0.5166761958256254,0.029163682079319297,,
2024-11-26,38442.0,38596.76171875,38020.078125,38596.76171875,122800000,^N225,Indices,-0.008757664147849661,0.0001434899528625952,0.011529125434470874,0.4801300923334012,-0.004676326278075904,,
2024-11-27,38134.96875,38332.44921875,37988.98828125,38327.859375,120500000,^N225,Indices,-0.00801893572626497,-0.0011367725336435754,0.01149736197655867,0.4490697431239061,-0.007230077120822576,,
2024-11-28,38349.05859375,38478.3203125,37801.62109375,37935.94140625,103400000,^N225,Indices,0.0055983036023118365,0.0016910647100154795,0.011338915280756067,0.47459329922488697,0.02310030395136775,,
2024-11-29,38208.03125,38270.05859375,37986.96875,38205.078125,102300000,^N225,Indices,-0.003684244099642957,-0.0003964882784620306,0.011319370746040922,0.45949199514235045,-0.007272408656794904,,
2024-12-02,38513.01953125,38552.41015625,37958.55078125,38216.94921875,110500000,^N225,Indices,0.007950618108786257,-0.0013823844525319012,0.00974952567694078,0.4967836857851723,-0.018706854918894344,,
2024-12-03,39248.859375,39427.37109375,38746.05078125,38748.6484375,142200000,^N225,Indices,0.01892602952646885,0.004154354282331801,0.010337427353344678,0.573279590985171,0.01927024604620242,,
2024-12-04,39276.390625,39417.078125,39062.03125,39354.0,119100000,^N225,Indices,0.0007012076020916157,0.0058983829480031185,0.008533083814165605,0.5758773701829504,0.05486324648001295,,
2024-12-05,39395.6015625,39632.30078125,39323.0390625,39610.4296875,116400000,^N225,Indices,0.003030583703951927,0.005384838968331136,0.008545985023419762,0.5875849776515687,0.05592510470559242,,
2024-12-06,39091.171875,39468.46875,38940.44140625,39371.55859375,101500000,^N225,Indices,-0.007757516352278754,0.0045701845178039765,0.008685467488756808,0.5461254185043477,0.05688437775816424,,
2024-12-09,39160.5,39332.55078125,38972.78125,39332.55078125,113100000,^N225,Indices,0.001771927461179997,0.0033344463882827254,0.008695694549576536,0.5538459285537504,0.05635087211406242,,
2024-12-10,39367.578125,39465.140625,39171.69140625,39375.48828125,110300000,^N225,Indices,0.005274001603899916,0.000604040803768938,0.008745247755440872,0.5769915389260605,0.050690002411108104,,
2024-12-11,39372.23046875,39401.9296875,39112.80078125,39357.76953125,105800000,^N225,Indices,0.00011817005498242753,0.0004874332943471003,0.007808086789752907,0.5775218251090168,0.04799297051521667,,
2024-12-12,39849.140625,40091.55078125,39827.58984375,39849.96875,121100000,^N225,Indices,0.012040082388597557,0.0022893330312762266,0.008071592704487596,0.6288816094649671,0.04787131838269598,,
2024-12-13,39470.44140625,39734.98828125,39247.41015625,39624.05078125,123900000,^N225,Indices,-0.00954876681135594,0.0019310829394607893,0.008444989181465138,0.5696603762360148,0.04542987181093161,,
2024-12-16,39457.48828125,39632.171875,39371.421875,39551.21875,87500000,^N225,Indices,-0.00032822665354525365,0.0015110521165157393,0.007967997458715771,0.56769119566674,0.017238071747649908,,
2024-12-17,39364.6796875,39796.21875,39364.6796875,39589.6484375,115700000,^N225,Indices,-0.00235488667796846,-1.4725539857936026e-05,0.007970855745400882,0.5529426916533997,-0.013525735343745349,,
2024-12-18,39081.7109375,39382.69140625,39081.7109375,39176.87890625,132200000,^N225,Indices,-0.007214353013517918,-0.0014812301535580053,0.008171504903846648,0.5094817242306682,-0.04500991495761186,,
2024-12-19,38813.578125,38913.0703125,38355.51953125,38522.26953125,147700000,^N225,Indices,-0.00688446951695577,-0.005266140534668671,0.008078196408483371,0.471651682070933,-0.07950229207596593,,
2024-12-20,38701.8984375,39039.6796875,38701.8984375,38950.28125,184500000,^N225,Indices,-0.0028814830205543406,-0.003932683776508352,0.0080055458621198,0.4564493668240806,-0.08888178828666904,,
2024-12-23,39161.33984375,39210.171875,38847.12890625,39040.71875,103200000,^N225,Indices,0.011801377612235448,-0.0015067629233522103,0.0079212420981253,0.5243695191282084,-0.06424106902311544,,
2024-12-24,39036.8515625,39245.75,38995.76171875,39210.23046875,116200000,^N225,Indices,-0.0031839198369258605,-0.0016725695551436908,0.007672955526073449,0.5059225220058619,-0.0653265644029064,,
2024-12-25,39130.4296875,39180.58984375,38927.16015625,39168.51953125,116100000,^N225,Indices,0.002394305346384047,0.00024916211683670235,0.007393554161857394,0.5196035454257402,-0.031927198740192564,,
2024-12-26,39568.05859375,39592.28125,39110.921875,39129.30859375,131400000,^N225,Indices,0.011121774427931932,0.003850410905814243,0.0076613258352308386,0.5783987330630412,0.007114399544678518,,
2024-12-27,40281.16015625,40398.23046875,39669.390625,39672.1484375,159500000,^N225,Indices,0.01786167811105067,0.007999043132135245,0.008366773110720788,0.6529371531354422,0.0575728793745891,,
2024-12-30,39894.5390625,40325.78125,39864.4609375,40325.78125,110600000,^N225,Indices,-0.009644420798439086,0.0037098834500003384,0.008697692102907249,0.5918424921799137,0.025940374566340907,,
2025-01-06,39307.05078125,39993.5,39232.78125,39945.421875,137900000,^N225,Indices,-0.014835536951939786,0.001379560026997553,0.008464289427974534,0.5132534334319899,0.023204743430202734,,
2025-01-07,40083.30078125,40288.80078125,39584.359375,39584.359375,127000000,^N225,Indices,0.01955589623182098,0.004811878204084939,0.009521755587403372,0.5906074648546776,0.02438603057610922,,
2025-01-08,39981.05859375,40105.71875,39705.80859375,39879.359375,118800000,^N225,Indices,-0.0025540014027368293,0.0020767230379511873,0.00954145746211956,0.577587463862279,-0.01141565413958745,,
2025-01-09,39605.08984375,39930.0703125,39385.05078125,39888.91015625,117000000,^N225,Indices,-0.009448165395697733,-0.0033852456633984935,0.009627779537123389,0.5312121968999552,-0.049367875647668424,,
2025-01-10,39190.3984375,39591.4609375,39166.05078125,39550.25,113200000,^N225,Indices,-0.01052586243343693,-0.003561533990398062,0.00994019758193151,0.4849599817548482,-0.05049881435126069,,
2025-01-14,38474.30078125,39054.3515625,38305.91015625,39010.9609375,126900000,^N225,Indices,-0.01844127274240211,-0.004282681148490527,0.010670415817694772,0.41737866559770337,-0.04992130490771207,,
2025-01-15,38444.578125,38774.98828125,38316.01171875,38721.609375,100700000,^N225,Indices,-0.0007728312776267471,-0.008348426650380074,0.010666712306338547,0.414794893559801,-0.0810286677908938,,
2025-01-16,38572.6015625,38932.5390625,38426.19921875,38732.6484375,114200000,^N225,Indices,0.003324545404946072,-0.007172717288843493,0.010268261625585749,0.4311300570008612,-0.04910535642828562,,
2025-01-17,38451.4609375,38503.94140625,38055.6796875,38454.1015625,115300000,^N225,Indices,-0.0031455293567256813,-0.005912190081049082,0.010106850546352771,0.4192058976730931,-0.04969332286852124,,
2025-01-20,38902.5,39032.9296875,38671.76953125,38671.76953125,87500000,^N225,Indices,0.011661824907963816,-0.0014746526127689327,0.010515359517335421,0.4771856069298582,-0.020865967193734347,,
2025-01-21,39027.98046875,39238.2109375,38643.83984375,39163.53125,93300000,^N225,Indices,0.0032203208920600314,0.0028576661141234963,0.010543272297199353,0.49236831417379945,0.011897411183566575,,
2025-01-22,39646.25,39694.5703125,39332.62890625,39355.21875,108500000,^N225,Indices,0.015717529250936165,0.006155738219836079,0.011003468992629146,0.5601473371075003,0.04407132152796889,,
2025-01-23,39958.87109375,40036.0703125,39677.21875,39810.05859375,119100000,^N225,Indices,0.007854336419607108,0.007061696422768287,0.010961044146067895,0.589959817870221,0.044051340627630164,,
2025-01-24,39931.98046875,40279.7890625,39806.69140625,40060.48828125,122600000,^N225,Indices,-0.0006731841128137492,0.007556165471550672,0.010926139183866564,0.5862788466920223,0.04371166817062533,,
2025-01-27,39565.80078125,40255.6796875,39520.7890625,40127.73828125,117200000,^N225,Indices,-0.009212389867673787,0.0033813225164231507,0.010900256433692367,0.5371316486294733,0.012240031392435569,,
2025-01-28,39016.87109375,39448.55078125,38886.05078125,39400.01953125,132000000,^N225,Indices,-0.013970983757568653,-5.6938413502585426e-05,0.011350430163247615,0.4731052000853857,-0.0214612076022086,,
2025-01-29,39414.78125,39448.23828125,39129.140625,39273.80078125,108600000,^N225,Indices,0.010146759842851651,-0.0011710922951194878,0.011567715834150076,0.5179605492541768,-0.021105512918155767,,
